HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,HomeTeamShots,AwayTeamShots,HomeTeamHalfTimeGoals,AwayTeamHalfTimeGoals,HomeTeamFullTimeGoals,AwayTeamFullTimeGoals,PredictedLabel
Leverkusen,Greuther Furth,7,1,13,8,3,1,0,0,0
Mainz,Wolfsburg,3,0,12,16,2,0,0,0,0
Dortmund,Bayern Munich,2,3,11,16,1,2,0,0,0
Union Berlin,RB Leipzig,2,1,14,11,1,1,0,0,0
Ein Frankfurt,Union Berlin,2,1,17,7,1,0,0,0,0
RB Leipzig,Leverkusen,1,3,14,11,0,2,0,0,0
Bochum,Freiburg,2,1,13,22,0,0,0,0,0
FC Koln,M'gladbach,4,1,15,15,0,0,0,0,0
Greuther Furth,Hoffenheim,3,6,14,20,1,2,0,0,0
Hertha,Augsburg,1,1,10,20,1,0,0,0,0
Wolfsburg,Dortmund,1,3,15,16,1,1,0,0,0
Bayern Munich,Bielefeld,1,0,23,8,0,0,0,0,0
Stuttgart,Mainz,2,1,8,18,1,1,0,0,0
Freiburg,Ein Frankfurt,0,2,20,13,0,2,0,0,0
Mainz,FC Koln,1,1,11,12,1,0,0,0,0
Bielefeld,Wolfsburg,2,2,10,13,1,0,0,0,0
Dortmund,Stuttgart,2,1,20,12,0,0,0,0,0
Hoffenheim,RB Leipzig,2,0,24,4,1,0,0,0,0
Leverkusen,Bochum,1,0,11,19,1,0,0,0,0
M'gladbach,Greuther Furth,4,0,19,4,3,0,0,0,0
Union Berlin,Hertha,2,0,16,6,2,0,0,0,0
Augsburg,Bayern Munich,2,1,6,18,2,1,0,0,0
Hertha,Leverkusen,1,1,15,8,1,0,0,0,0
FC Koln,Union Berlin,2,2,16,9,1,2,0,0,0
Greuther Furth,Ein Frankfurt,1,2,20,14,0,0,0,0,0
Bayern Munich,Freiburg,2,1,29,14,1,0,0,0,0
Bochum,Hoffenheim,2,0,14,9,0,0,0,0,0
Stuttgart,Bielefeld,0,1,9,15,0,1,0,0,0
Wolfsburg,Augsburg,1,0,9,13,1,0,0,0,0
RB Leipzig,Dortmund,2,1,15,9,1,0,0,0,0
Mainz,M'gladbach,1,1,19,11,0,1,0,0,0
Augsburg,Stuttgart,4,1,20,12,1,1,0,0,0
M'gladbach,Bochum,2,1,14,11,2,0,0,0,0
Bielefeld,Mainz,1,2,15,16,1,1,0,0,0
Dortmund,FC Koln,2,0,7,19,1,0,0,0,0
